context,question,answer
"Although Kenya is the most industrially developed country in the African Great Lakes region, manufacturing still accounts for only 14% of the GDP. Industrial activity, concentrated around the three largest urban centres, Nairobi, Mombasa and Kisumu, is dominated by food-processing industries such as grain milling, beer production, and sugarcane crushing, and the fabrication of consumer goods, e.g., vehicles from kits. There is a cement production industry.[citation needed] Kenya has an oil refinery that processes imported crude petroleum into petroleum products, mainly for the domestic market. In addition, a substantial and expanding informal sector commonly referred to as Jua Kali engages in small-scale manufacturing of household goods, motor-vehicle parts, and farm implements.[citation needed]",What is the primary occupation of Jua Kali?,small-scale manufacturing
"Although Kenya is the most industrially developed country in the African Great Lakes region, manufacturing still accounts for only 14% of the GDP. Industrial activity, concentrated around the three largest urban centres, Nairobi, Mombasa and Kisumu, is dominated by food-processing industries such as grain milling, beer production, and sugarcane crushing, and the fabrication of consumer goods, e.g., vehicles from kits. There is a cement production industry.[citation needed] Kenya has an oil refinery that processes imported crude petroleum into petroleum products, mainly for the domestic market. In addition, a substantial and expanding informal sector commonly referred to as Jua Kali engages in small-scale manufacturing of household goods, motor-vehicle parts, and farm implements.[citation needed]",Where is imported crude petroleum processed?,oil refinery
"Although Kenya is the most industrially developed country in the African Great Lakes region, manufacturing still accounts for only 14% of the GDP. Industrial activity, concentrated around the three largest urban centres, Nairobi, Mombasa and Kisumu, is dominated by food-processing industries such as grain milling, beer production, and sugarcane crushing, and the fabrication of consumer goods, e.g., vehicles from kits. There is a cement production industry.[citation needed] Kenya has an oil refinery that processes imported crude petroleum into petroleum products, mainly for the domestic market. In addition, a substantial and expanding informal sector commonly referred to as Jua Kali engages in small-scale manufacturing of household goods, motor-vehicle parts, and farm implements.[citation needed]",Which of these is an urban center: Nairobi or Jua Kali?,Nairobi
"Kenya’s armed forces, like many government institutions in the country, have been tainted by corruption allegations. Because the operations of the armed forces have been traditionally cloaked by the ubiquitous blanket of “state security”, the corruption has been less in public view, and thus less subject to public scrutiny and notoriety. This has changed recently. In what are by Kenyan standards unprecedented revelations, in 2010, credible claims of corruption were made with regard to recruitment and procurement of Armoured Personnel Carriers. Further, the wisdom and prudence of certain decisions of procurement have been publicly questioned.",What has been considered an issue in relation to the Kenyan government?,corruption
"Kenya’s armed forces, like many government institutions in the country, have been tainted by corruption allegations. Because the operations of the armed forces have been traditionally cloaked by the ubiquitous blanket of “state security”, the corruption has been less in public view, and thus less subject to public scrutiny and notoriety. This has changed recently. In what are by Kenyan standards unprecedented revelations, in 2010, credible claims of corruption were made with regard to recruitment and procurement of Armoured Personnel Carriers. Further, the wisdom and prudence of certain decisions of procurement have been publicly questioned.",What instrument used in military troop deployment has revealed unsavory activities in its procurement?,Armoured Personnel Carriers
"Kenya’s armed forces, like many government institutions in the country, have been tainted by corruption allegations. Because the operations of the armed forces have been traditionally cloaked by the ubiquitous blanket of “state security”, the corruption has been less in public view, and thus less subject to public scrutiny and notoriety. This has changed recently. In what are by Kenyan standards unprecedented revelations, in 2010, credible claims of corruption were made with regard to recruitment and procurement of Armoured Personnel Carriers. Further, the wisdom and prudence of certain decisions of procurement have been publicly questioned.",What agency did information in relation to the purchasing of troop transporters occur against?,armed forces
"Agriculture is the second largest contributor to Kenya's gross domestic product (GDP), after the service sector. In 2005 agriculture, including forestry and fishing, accounted for 24% of GDP, as well as for 18% of wage employment and 50% of revenue from exports. The principal cash crops are tea, horticultural produce, and coffee. Horticultural produce and tea are the main growth sectors and the two most valuable of all of Kenya's exports. The production of major food staples such as corn is subject to sharp weather-related fluctuations. Production downturns periodically necessitate food aid—for example, in 2004 aid for 1.8 million people because of one of Kenya's intermittent droughts.[citation needed]",What type of natural disaster affects Kenya's food supply?,droughts
"Agriculture is the second largest contributor to Kenya's gross domestic product (GDP), after the service sector. In 2005 agriculture, including forestry and fishing, accounted for 24% of GDP, as well as for 18% of wage employment and 50% of revenue from exports. The principal cash crops are tea, horticultural produce, and coffee. Horticultural produce and tea are the main growth sectors and the two most valuable of all of Kenya's exports. The production of major food staples such as corn is subject to sharp weather-related fluctuations. Production downturns periodically necessitate food aid—for example, in 2004 aid for 1.8 million people because of one of Kenya's intermittent droughts.[citation needed]",Half of all Kenya's export revenue results from which sector of its GDP?,Agriculture
"Agriculture is the second largest contributor to Kenya's gross domestic product (GDP), after the service sector. In 2005 agriculture, including forestry and fishing, accounted for 24% of GDP, as well as for 18% of wage employment and 50% of revenue from exports. The principal cash crops are tea, horticultural produce, and coffee. Horticultural produce and tea are the main growth sectors and the two most valuable of all of Kenya's exports. The production of major food staples such as corn is subject to sharp weather-related fluctuations. Production downturns periodically necessitate food aid—for example, in 2004 aid for 1.8 million people because of one of Kenya's intermittent droughts.[citation needed]",Which sector contributes the most to Kenya's GDP?,the service sector
"Agriculture is the second largest contributor to Kenya's gross domestic product (GDP), after the service sector. In 2005 agriculture, including forestry and fishing, accounted for 24% of GDP, as well as for 18% of wage employment and 50% of revenue from exports. The principal cash crops are tea, horticultural produce, and coffee. Horticultural produce and tea are the main growth sectors and the two most valuable of all of Kenya's exports. The production of major food staples such as corn is subject to sharp weather-related fluctuations. Production downturns periodically necessitate food aid—for example, in 2004 aid for 1.8 million people because of one of Kenya's intermittent droughts.[citation needed]",Which two sectors of Kenya's economy are considered to be part of its agricultural sector?,forestry and fishing
"The armed forces are regularly deployed in peacekeeping missions around the world. Further, in the aftermath of the national elections of December 2007 and the violence that subsequently engulfed the country, a commission of inquiry, the Waki Commission, commended its readiness and adjudged it to ""have performed its duty well."" Nevertheless, there have been serious allegations of human rights violations, most recently while conducting counter-insurgency operations in the Mt Elgon area and also in the district of Mandera central.",What kind of accusations were being made in Mt. Elgon?,human rights violations
"The armed forces are regularly deployed in peacekeeping missions around the world. Further, in the aftermath of the national elections of December 2007 and the violence that subsequently engulfed the country, a commission of inquiry, the Waki Commission, commended its readiness and adjudged it to ""have performed its duty well."" Nevertheless, there have been serious allegations of human rights violations, most recently while conducting counter-insurgency operations in the Mt Elgon area and also in the district of Mandera central.",How did the Commission say it performed?,well
"The armed forces are regularly deployed in peacekeeping missions around the world. Further, in the aftermath of the national elections of December 2007 and the violence that subsequently engulfed the country, a commission of inquiry, the Waki Commission, commended its readiness and adjudged it to ""have performed its duty well."" Nevertheless, there have been serious allegations of human rights violations, most recently while conducting counter-insurgency operations in the Mt Elgon area and also in the district of Mandera central.",What were they doing when they were accused of violating human rights?,conducting counter-insurgency operations
"East and Central Africa's biggest economy has posted tremendous growth in the service sector, boosted by rapid expansion in telecommunication and financial activity over the last decade, and now[when?] contributes 62% of GDP. 22% of GDP still comes from the unreliable agricultural sector which employs 75% of the labour force (a consistent characteristic of under-developed economies that have not attained food security – an important catalyst of economic growth) A small portion of the population relies on food aid.[citation needed] Industry and manufacturing is the smallest sector, accounting for 16% of GDP. The service, industry and manufacturing sectors only employ 25% of the labour force but contribute 75% of GDP.",What has not been stagnant?,service sector
"East and Central Africa's biggest economy has posted tremendous growth in the service sector, boosted by rapid expansion in telecommunication and financial activity over the last decade, and now[when?] contributes 62% of GDP. 22% of GDP still comes from the unreliable agricultural sector which employs 75% of the labour force (a consistent characteristic of under-developed economies that have not attained food security – an important catalyst of economic growth) A small portion of the population relies on food aid.[citation needed] Industry and manufacturing is the smallest sector, accounting for 16% of GDP. The service, industry and manufacturing sectors only employ 25% of the labour force but contribute 75% of GDP.",What reaped the most reward from change?,service sector
"Kenya is a presidential representative democratic republic. The President is both the head of state and head of government, and of a multi-party system. Executive power is exercised by the government. Legislative power is vested in both the government and the National Assembly and the Senate. The Judiciary is independent of the executive and the legislature. There was growing concern especially during former president Daniel arap Moi's tenure that the executive was increasingly meddling with the affairs of the judiciary.[citation needed]",What was Daniel arap Moi's first name?,Daniel
"Kenya is a presidential representative democratic republic. The President is both the head of state and head of government, and of a multi-party system. Executive power is exercised by the government. Legislative power is vested in both the government and the National Assembly and the Senate. The Judiciary is independent of the executive and the legislature. There was growing concern especially during former president Daniel arap Moi's tenure that the executive was increasingly meddling with the affairs of the judiciary.[citation needed]",What was Daniel arap Moi's surname?,Moi
"Kenya is a presidential representative democratic republic. The President is both the head of state and head of government, and of a multi-party system. Executive power is exercised by the government. Legislative power is vested in both the government and the National Assembly and the Senate. The Judiciary is independent of the executive and the legislature. There was growing concern especially during former president Daniel arap Moi's tenure that the executive was increasingly meddling with the affairs of the judiciary.[citation needed]",Other than the government and National Assembly who has legislative power?,the Senate
"Kenya is a presidential representative democratic republic. The President is both the head of state and head of government, and of a multi-party system. Executive power is exercised by the government. Legislative power is vested in both the government and the National Assembly and the Senate. The Judiciary is independent of the executive and the legislature. There was growing concern especially during former president Daniel arap Moi's tenure that the executive was increasingly meddling with the affairs of the judiciary.[citation needed]","Other than the Senate and National Assembly, who has legislative power?",the government
"Kenya is a presidential representative democratic republic. The President is both the head of state and head of government, and of a multi-party system. Executive power is exercised by the government. Legislative power is vested in both the government and the National Assembly and the Senate. The Judiciary is independent of the executive and the legislature. There was growing concern especially during former president Daniel arap Moi's tenure that the executive was increasingly meddling with the affairs of the judiciary.[citation needed]",What is the President head of in addition to the state and the government?,a multi-party system
"The largest share of Kenya's electricity supply comes from hydroelectric stations at dams along the upper Tana River, as well as the Turkwel Gorge Dam in the west. A petroleum-fired plant on the coast, geothermal facilities at Olkaria (near Nairobi), and electricity imported from Uganda make up the rest of the supply. Kenya's installed capacity stood at 1,142 megawatts between 2001 and 2003. The state-owned Kenya Electricity Generating Company (KenGen), established in 1997 under the name of Kenya Power Company, handles the generation of electricity, while Kenya Power handles the electricity transmission and distribution system in the country. Shortfalls of electricity occur periodically, when drought reduces water flow. To become energy sufficient, Kenya aims to build a nuclear power plant by 2017.",What type of electricity does Kenya primarily use?,hydroelectric
"The largest share of Kenya's electricity supply comes from hydroelectric stations at dams along the upper Tana River, as well as the Turkwel Gorge Dam in the west. A petroleum-fired plant on the coast, geothermal facilities at Olkaria (near Nairobi), and electricity imported from Uganda make up the rest of the supply. Kenya's installed capacity stood at 1,142 megawatts between 2001 and 2003. The state-owned Kenya Electricity Generating Company (KenGen), established in 1997 under the name of Kenya Power Company, handles the generation of electricity, while Kenya Power handles the electricity transmission and distribution system in the country. Shortfalls of electricity occur periodically, when drought reduces water flow. To become energy sufficient, Kenya aims to build a nuclear power plant by 2017.",What is close to Oklaria?,Nairobi
"The largest share of Kenya's electricity supply comes from hydroelectric stations at dams along the upper Tana River, as well as the Turkwel Gorge Dam in the west. A petroleum-fired plant on the coast, geothermal facilities at Olkaria (near Nairobi), and electricity imported from Uganda make up the rest of the supply. Kenya's installed capacity stood at 1,142 megawatts between 2001 and 2003. The state-owned Kenya Electricity Generating Company (KenGen), established in 1997 under the name of Kenya Power Company, handles the generation of electricity, while Kenya Power handles the electricity transmission and distribution system in the country. Shortfalls of electricity occur periodically, when drought reduces water flow. To become energy sufficient, Kenya aims to build a nuclear power plant by 2017.",Who sends their electricity to Kenya?,Uganda
"The largest share of Kenya's electricity supply comes from hydroelectric stations at dams along the upper Tana River, as well as the Turkwel Gorge Dam in the west. A petroleum-fired plant on the coast, geothermal facilities at Olkaria (near Nairobi), and electricity imported from Uganda make up the rest of the supply. Kenya's installed capacity stood at 1,142 megawatts between 2001 and 2003. The state-owned Kenya Electricity Generating Company (KenGen), established in 1997 under the name of Kenya Power Company, handles the generation of electricity, while Kenya Power handles the electricity transmission and distribution system in the country. Shortfalls of electricity occur periodically, when drought reduces water flow. To become energy sufficient, Kenya aims to build a nuclear power plant by 2017.",How often do draughts reduce water flow?,periodically
"The largest share of Kenya's electricity supply comes from hydroelectric stations at dams along the upper Tana River, as well as the Turkwel Gorge Dam in the west. A petroleum-fired plant on the coast, geothermal facilities at Olkaria (near Nairobi), and electricity imported from Uganda make up the rest of the supply. Kenya's installed capacity stood at 1,142 megawatts between 2001 and 2003. The state-owned Kenya Electricity Generating Company (KenGen), established in 1997 under the name of Kenya Power Company, handles the generation of electricity, while Kenya Power handles the electricity transmission and distribution system in the country. Shortfalls of electricity occur periodically, when drought reduces water flow. To become energy sufficient, Kenya aims to build a nuclear power plant by 2017.",What is burned to generate electricity on the coast?,petroleum
"The country's literacy level stands at 85% of the whole population. Preschool, which targets children from age three to five, is an integral component of the education system and is a key requirement for admission to Standard One (First Grade). At the end of primary education, pupils sit the Kenya Certificate of Primary Education (KCPE), which determines those who proceed to secondary school or vocational training. The result of this examination is needed for placement at secondary school. Primary school age is 6/7-13/14 years. For those who proceed to secondary level, there is a national examination at the end of Form Four – the Kenya Certificate of Secondary Education (KCSE), which determines those proceeding to the universities, other professional training or employment. Students sit examinations in eight subjects of their choosing. However, English, Kiswahili (languages) and mathematics are compulsory subjects.",What grade would a four year old attend?,Preschool
"The country's literacy level stands at 85% of the whole population. Preschool, which targets children from age three to five, is an integral component of the education system and is a key requirement for admission to Standard One (First Grade). At the end of primary education, pupils sit the Kenya Certificate of Primary Education (KCPE), which determines those who proceed to secondary school or vocational training. The result of this examination is needed for placement at secondary school. Primary school age is 6/7-13/14 years. For those who proceed to secondary level, there is a national examination at the end of Form Four – the Kenya Certificate of Secondary Education (KCSE), which determines those proceeding to the universities, other professional training or employment. Students sit examinations in eight subjects of their choosing. However, English, Kiswahili (languages) and mathematics are compulsory subjects.",Why can't kids skip Preschool and learn at home?,key requirement for admission to Standard One
"The country's literacy level stands at 85% of the whole population. Preschool, which targets children from age three to five, is an integral component of the education system and is a key requirement for admission to Standard One (First Grade). At the end of primary education, pupils sit the Kenya Certificate of Primary Education (KCPE), which determines those who proceed to secondary school or vocational training. The result of this examination is needed for placement at secondary school. Primary school age is 6/7-13/14 years. For those who proceed to secondary level, there is a national examination at the end of Form Four – the Kenya Certificate of Secondary Education (KCSE), which determines those proceeding to the universities, other professional training or employment. Students sit examinations in eight subjects of their choosing. However, English, Kiswahili (languages) and mathematics are compulsory subjects.",How old are the kids when they start first grade?,6/7
"The country's literacy level stands at 85% of the whole population. Preschool, which targets children from age three to five, is an integral component of the education system and is a key requirement for admission to Standard One (First Grade). At the end of primary education, pupils sit the Kenya Certificate of Primary Education (KCPE), which determines those who proceed to secondary school or vocational training. The result of this examination is needed for placement at secondary school. Primary school age is 6/7-13/14 years. For those who proceed to secondary level, there is a national examination at the end of Form Four – the Kenya Certificate of Secondary Education (KCSE), which determines those proceeding to the universities, other professional training or employment. Students sit examinations in eight subjects of their choosing. However, English, Kiswahili (languages) and mathematics are compulsory subjects.",What is every student tested on other than language?,mathematics
"The country's literacy level stands at 85% of the whole population. Preschool, which targets children from age three to five, is an integral component of the education system and is a key requirement for admission to Standard One (First Grade). At the end of primary education, pupils sit the Kenya Certificate of Primary Education (KCPE), which determines those who proceed to secondary school or vocational training. The result of this examination is needed for placement at secondary school. Primary school age is 6/7-13/14 years. For those who proceed to secondary level, there is a national examination at the end of Form Four – the Kenya Certificate of Secondary Education (KCSE), which determines those proceeding to the universities, other professional training or employment. Students sit examinations in eight subjects of their choosing. However, English, Kiswahili (languages) and mathematics are compulsory subjects.",Where do the children who score poorly on their KCPE go?,vocational training
"Kenya won several medals during the Beijing Olympics, six gold, four silver and four bronze, making it Africa's most successful nation in the 2008 Olympics. New athletes gained attention, such as Pamela Jelimo, the women's 800m gold medalist who went ahead to win the IAAF Golden League jackpot, and Samuel Wanjiru who won the men's marathon. Retired Olympic and Commonwealth Games champion Kipchoge Keino helped usher in Kenya's ongoing distance dynasty in the 1970s and was followed by Commonwealth Champion Henry Rono's spectacular string of world record performances. Lately, there has been controversy in Kenyan athletics circles, with the defection of a number of Kenyan athletes to represent other countries, chiefly Bahrain and Qatar. The Kenyan Ministry of Sports has tried to stop the defections, but they have continued anyway, with Bernard Lagat the latest, choosing to represent the United States. Most of these defections occur because of economic or financial factors. Some elite Kenyan runners who cannot qualify for their country's strong national team find it easier to qualify by running for other countries.[citation needed]","Some Kenyan athlethes decide to compete for other countries when participating in the Olympics, such as the island of?",Bahrain
"Kenya won several medals during the Beijing Olympics, six gold, four silver and four bronze, making it Africa's most successful nation in the 2008 Olympics. New athletes gained attention, such as Pamela Jelimo, the women's 800m gold medalist who went ahead to win the IAAF Golden League jackpot, and Samuel Wanjiru who won the men's marathon. Retired Olympic and Commonwealth Games champion Kipchoge Keino helped usher in Kenya's ongoing distance dynasty in the 1970s and was followed by Commonwealth Champion Henry Rono's spectacular string of world record performances. Lately, there has been controversy in Kenyan athletics circles, with the defection of a number of Kenyan athletes to represent other countries, chiefly Bahrain and Qatar. The Kenyan Ministry of Sports has tried to stop the defections, but they have continued anyway, with Bernard Lagat the latest, choosing to represent the United States. Most of these defections occur because of economic or financial factors. Some elite Kenyan runners who cannot qualify for their country's strong national team find it easier to qualify by running for other countries.[citation needed]",A recent long distance runner that has chosen not to compete under their home country of Kenya was whom?,Bernard Lagat
"Kenya won several medals during the Beijing Olympics, six gold, four silver and four bronze, making it Africa's most successful nation in the 2008 Olympics. New athletes gained attention, such as Pamela Jelimo, the women's 800m gold medalist who went ahead to win the IAAF Golden League jackpot, and Samuel Wanjiru who won the men's marathon. Retired Olympic and Commonwealth Games champion Kipchoge Keino helped usher in Kenya's ongoing distance dynasty in the 1970s and was followed by Commonwealth Champion Henry Rono's spectacular string of world record performances. Lately, there has been controversy in Kenyan athletics circles, with the defection of a number of Kenyan athletes to represent other countries, chiefly Bahrain and Qatar. The Kenyan Ministry of Sports has tried to stop the defections, but they have continued anyway, with Bernard Lagat the latest, choosing to represent the United States. Most of these defections occur because of economic or financial factors. Some elite Kenyan runners who cannot qualify for their country's strong national team find it easier to qualify by running for other countries.[citation needed]","Some athlethes join other olympic teams from countries they are able to qualify for, but a great majority due so for what reason?",economic or financial factors
"The ""Big Five"" game animals of Africa, that is the lion, leopard, buffalo, rhinoceros, and elephant, can be found in Kenya and in the Masai Mara in particular. A significant population of other wild animals, reptiles and birds can be found in the national parks and game reserves in the country. The annual animal migration occurs between June and September with millions of animals taking part, attracting valuable foreign tourism. Two million wildebeest migrate a distance of 2,900 kilometres (1,802 mi) from the Serengeti in neighbouring Tanzania to the Masai Mara in Kenya, in a constant clockwise fashion, searching for food and water supplies. This Serengeti Migration of the wildebeest is a curious spectacle listed among the 10 Natural Wonders of Africa.","Which is the biggest of the ""Big Five"" game animals of Africa?",elephant
"The ""Big Five"" game animals of Africa, that is the lion, leopard, buffalo, rhinoceros, and elephant, can be found in Kenya and in the Masai Mara in particular. A significant population of other wild animals, reptiles and birds can be found in the national parks and game reserves in the country. The annual animal migration occurs between June and September with millions of animals taking part, attracting valuable foreign tourism. Two million wildebeest migrate a distance of 2,900 kilometres (1,802 mi) from the Serengeti in neighbouring Tanzania to the Masai Mara in Kenya, in a constant clockwise fashion, searching for food and water supplies. This Serengeti Migration of the wildebeest is a curious spectacle listed among the 10 Natural Wonders of Africa.","Where specifically can the ""Big Five"" game animals of Africa be found?",Masai Mara
"The ""Big Five"" game animals of Africa, that is the lion, leopard, buffalo, rhinoceros, and elephant, can be found in Kenya and in the Masai Mara in particular. A significant population of other wild animals, reptiles and birds can be found in the national parks and game reserves in the country. The annual animal migration occurs between June and September with millions of animals taking part, attracting valuable foreign tourism. Two million wildebeest migrate a distance of 2,900 kilometres (1,802 mi) from the Serengeti in neighbouring Tanzania to the Masai Mara in Kenya, in a constant clockwise fashion, searching for food and water supplies. This Serengeti Migration of the wildebeest is a curious spectacle listed among the 10 Natural Wonders of Africa.","Aside from constantly being on the move, what else must the animals involved in the Serengeti Migration do while they are migrating?",searching for food and water supplies
"The ""Big Five"" game animals of Africa, that is the lion, leopard, buffalo, rhinoceros, and elephant, can be found in Kenya and in the Masai Mara in particular. A significant population of other wild animals, reptiles and birds can be found in the national parks and game reserves in the country. The annual animal migration occurs between June and September with millions of animals taking part, attracting valuable foreign tourism. Two million wildebeest migrate a distance of 2,900 kilometres (1,802 mi) from the Serengeti in neighbouring Tanzania to the Masai Mara in Kenya, in a constant clockwise fashion, searching for food and water supplies. This Serengeti Migration of the wildebeest is a curious spectacle listed among the 10 Natural Wonders of Africa.","In addition to the ""Big Five' game animals of Africa, what other types of creatures would you expect to find if you were a tourist in Kenya?","wild animals, reptiles and birds"
